_RAJ2000	_DEJ2000	RAJ2000	DEJ2000	SrcIDgaia	RAgaia	e_RAgaia	DEgaia	e_DEgaia	Org	Nu	EPucac	pmRA	e_pmRA	pmDE	e_pmDE	Gmag	f.mag	Rmag	Jmag	Hmag	Kmag
265.167650905	-53.683168653	265.1676525	-53.6831636	5921745262406842368	265.1676347	15.4	-53.6832200	16.6	3	3	1998.521	-2.3	3.2	-12.3	3.3	13.957	14.499				
265.168107415	-53.681681677	265.1681036	-53.6816742	5921745292477469440	265.1681464	12.9	-53.6817575	13.9	2	4	1998.521	5.5	2.5	-18.2	2.6	13.545	14.268	30.000	13.471	13.657	13.538
265.169497012	-53.670433904	265.1695000	-53.6704267	5921745292477470720	265.1694669	21.0	-53.6705069	22.6	3	2	1998.518	-4.3	5.3	-17.5	4.2	13.273	13.854				
265.169608809	-53.677911093	265.1696086	-53.6779078	5921745292477471360	265.1696108	14.0	-53.6779444	12.8	3	1	1998.518	0.3	10.1	-8.0	10.4	15.809	15.387				
265.170462892	-53.686651816	265.1704606	-53.6866433	5921745258117733760	265.1704861	16.8	-53.6867381	18.1	2	3	1998.519	3.3	2.4	-20.7	2.5	13.465	14.059	30.000	11.973	11.487	11.378
265.170518802	-53.676724628	265.1704988	-53.6767106	5921745296766589568	265.1707217	15.4	-53.6768667	16.6	2	0	1998.519	28.8	21.2	-34.1	19.3	15.511	16.314	30.000	13.682	13.468	13.185
265.171640609	-53.679369626	265.1716363	-53.6793553	5921745296766596352	265.1716844	15.4	-53.6795144	16.7	3	0	1998.518	6.2	30.4	-34.8	30.4	17.073	20.000				
265.173362299	-53.682561918	265.1733589	-53.6825544	5921745292477475456	265.1733964	5.0	-53.6826381	0.6	2	4	1998.521	4.9	1.6	-18.3	1.6	11.731	12.179	11.490	10.109	9.552	9.423
265.173416100	-53.677608964	265.1734161	-53.6775903	5921745296766593024	265.1734158	15.4	-53.6777981	16.6	3	3	1998.520	0.0	4.5	-45.4	4.6	14.514	14.860				
265.174086968	-53.686831456	265.1740878	-53.6868225	5921745262406753152	265.1740786	15.4	-53.6869222	16.6	3	5	1998.521	-1.2	5.3	-21.8	5.5	16.361	16.570				
265.175640230	-53.681219233	265.1755995	-53.6812103	5921745292477478016	265.1760522	11.9	-53.6813097	12.8	3	0	1998.518	58.6	30.4	-21.7	30.4	16.463	17.345				
265.176545885	-53.685044221	265.1765381	-53.6850336	5921745292477480192	265.1766250	15.4	-53.6851517	16.6	2	2	1998.518	11.2	3.9	-25.8	3.9	14.029	14.602	30.000	12.484	12.106	11.952
265.176778559	-53.682854454	265.1767719	-53.6828706	5921745296766493184	265.1768461	15.4	-53.6826906	16.6	3	3	1998.521	9.6	3.2	39.3	3.3	14.166	13.505				
265.177101812	-53.691210452	265.1770989	-53.6912022	5921745258117742464	265.1771317	49.2	-53.6912942	46.4	2	3	1998.522	4.2	3.7	-20.1	3.6	12.847	13.324	30.000	12.071	11.935	11.878
265.177745633	-53.679710140	265.1777681	-53.6797006	5921745296766533120	265.1775172	19.0	-53.6798072	17.3	2	0	1998.526	-32.5	30.4	-23.3	30.4	15.162	20.000	30.000	13.807	13.471	12.848
265.177351254	-53.692749116	265.1773331	-53.6927453	5921745258117742592	265.1775358	11.3	-53.6927881	12.2	3	0	1998.523	26.2	30.4	-9.3	30.4	16.904	20.000				
265.177479280	-53.678468952	265.1774722	-53.6784611	5921745292477479040	265.1775511	14.1	-53.6785483	15.0	3	3	1998.520	10.2	2.8	-19.1	2.8	13.511	14.244				
265.179321323	-53.687886954	265.1793125	-53.6878756	5921745258117744768	265.1794108	12.7	-53.6880022	13.7	2	2	1998.519	12.7	5.6	-27.6	5.6	15.362	15.642	30.000	13.832	13.553	13.387
265.179636346	-53.692009498	265.1796474	-53.6920011	5921745262406674432	265.1795242	15.4	-53.6920944	16.6	2	2	1998.518	-15.9	4.6	-20.4	4.5	15.351	15.719	30.000	13.621	13.195	13.576
265.179671691	-53.685559263	265.1796685	-53.6855508	5921745292477483776	265.1797042	0.3	-53.6856453	0.3	2	4	1998.521	4.6	1.6	-20.6	1.6	12.136	12.585	11.910	10.537	10.043	9.911
265.180155117	-53.680285156	265.1801538	-53.6802783	5921745292477484928	265.1801686	16.0	-53.6803547	19.2	2	3	1998.522	1.9	3.1	-16.7	3.2	13.714	14.440	30.000	12.250	11.807	11.644
265.180863600	-53.699104640	265.1808636	-53.6990983	5921745262406612608	265.1808636	15.4	-53.6991689	18.6	3	1	1998.518	0.0	6.1	-15.4	6.2	15.113	15.515				
265.180863130	-53.695487340	265.1808442	-53.6954889	5921745258117747840	265.1810550	11.3	-53.6954717	12.2	2	3	1998.522	27.3	5.6	3.8	5.5	16.134	16.227	30.000	14.739	14.583	14.545
265.181090579	-53.676574616	265.1810867	-53.6765644	5921745292477486464	265.1811297	0.4	-53.6766783	0.6	2	2	1998.523	5.6	1.7	-24.9	1.7	12.238	12.562	11.740	10.461	9.976	9.815
265.181161142	-53.690797114	265.1811585	-53.6907825	5921745258117748224	265.1811875	12.1	-53.6909450	13.1	3	2	1998.518	3.8	6.0	-35.5	4.5	15.393	16.089				
265.181857014	-53.696722474	265.1818483	-53.6967158	5921745258117748608	265.1819461	12.1	-53.6967903	13.1	2	1	1998.526	12.6	5.9	-16.3	5.9	16.577	14.940	30.000	15.249	12.816	12.676
265.182291535	-53.684972736	265.1822855	-53.6849653	5921745296766454784	265.1823531	15.6	-53.6850483	16.7	2	4	1998.521	8.7	2.4	-18.1	2.4	13.585	14.015	13.230	13.033	12.974	12.924
265.182364553	-53.688748700	265.1823592	-53.6887508	5921745258117749504	265.1824183	13.4	-53.6887275	14.5	2	1	1998.518	7.7	6.0	5.1	6.2	14.978	15.543	30.000	13.470	13.073	12.898
265.182687591	-53.694790971	265.1826828	-53.6947839	5921745262406638336	265.1827358	15.4	-53.6948625	16.6	2	4	1998.520	6.9	3.7	-17.2	3.2	15.625	16.151	30.000	14.380	14.192	14.095
265.184231374	-53.693710967	265.1842347	-53.6937019	5921745258117752448	265.1841978	11.0	-53.6938031	11.9	2	1	1998.523	-4.8	14.0	-22.1	14.1	16.525	16.747	30.000	15.490	14.057	14.212
265.184275116	-53.696980534	265.1842781	-53.6969694	5921745258117752704	265.1842447	11.0	-53.6970936	11.8	2	1	1998.521	-4.3	13.6	-27.1	14.4	16.462	17.003	30.000	15.348	15.125	14.429
265.185301776	-53.694554148	265.1853058	-53.6945364	5921745262406622336	265.1852606	15.4	-53.6947342	18.6	2	4	1998.521	-5.8	3.7	-43.2	3.7	15.720	15.856	30.000	14.121	13.872	13.776
265.185618017	-53.679913258	265.1856133	-53.6799050	5921745292477492224	265.1856656	0.7	-53.6799972	0.8	2	3	1998.521	6.8	1.9	-20.1	1.9	12.599	13.084	12.360	11.097	10.676	10.566
265.186452903	-53.700403801	265.1864572	-53.7003894	5921745262406570752	265.1864092	15.6	-53.7005500	16.7	3	0	1998.523	-6.2	21.0	-35.1	15.5	16.617	17.364				
265.186767496	-53.697589862	265.1867483	-53.6975858	5921745258117755520	265.1869622	10.5	-53.6976311	11.3	2	1	1998.523	27.7	15.2	-9.9	13.9	16.552	17.144	30.000	15.480	15.516	15.410
265.187579791	-53.681106028	265.1875800	-53.6810994	5921745296766457216	265.1875781	15.6	-53.6811731	16.7	3	1	1998.518	-0.3	11.5	-16.1	11.0	15.516	14.760				
