_RAJ2000	_DEJ2000	RA_ICRS	e_RA_ICRS	DE_ICRS	e_DE_ICRS	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BP-RP)	Rad	Lum
265.1883795506726	-53.7088856895662	265.18837955067	2.0534	-53.70888568957	3.7203	5921745159327279360							0	4.7127e+02	3.2452e+00	19.0052	0.0075																
265.1883776916216	-53.7091653319443	265.18844086273	1.0464	-53.70924686375	1.2361	5921745159327279488	-1.5534	1.4093	8.684	2.610	-18.936	2.672	0	2.2060e+02	2.2079e+00	19.8293	0.0109																
265.1803040959768	-53.7057247943307	265.18030409598	0.6863	-53.70572479433	0.6116	5921745159327345408							0	8.3522e+02	9.9428e+00	18.3839	0.0129	5.6896e+02	3.7188e+01	18.4637	0.0710	9.3170e+02	3.1958e+01	17.3387	0.0372	1.1250							
265.1707234089030	-53.7122536352430	265.17077198915	0.7597	-53.71233331123	0.6241	5921745124967605504	2.5388	0.7278	6.678	2.116	-18.505	1.754	0	2.4427e+02	1.9629e+00	19.7187	0.0087	1.9469e+02	1.5096e+01	19.6281	0.0842	3.3653e+02	2.4384e+01	18.4444	0.0787	1.1837							
265.1816994837710	-53.7137786781700	265.18169948377	1.1030	-53.71377867817	1.2587	5921745124967539456							0	5.1569e+02	2.8675e+00	18.9074	0.0060																
265.1845599899933	-53.7113094049178	265.18455998999	1.5528	-53.71130940492	0.9184	5921745159327275008							0	2.2833e+02	2.0257e+00	19.7920	0.0096																
265.1845268041736	-53.7122591857592	265.18455797026	0.1670	-53.71233239707	0.1589	5921745159327275264	0.6707	0.1927	4.284	0.533	-17.004	0.421	0	1.0163e+03	2.3073e+00	18.1708	0.0025	6.6235e+02	1.8677e+01	18.2987	0.0306	9.7860e+02	2.0487e+01	17.2854	0.0227	1.0133							
265.1686755454289	-53.7136446659034	265.16869770307	0.1624	-53.71371765968	0.1662	5921745124967602560	0.6747	0.1755	3.046	0.307	-16.953	0.308	0	1.4399e+03	3.7681e+00	17.7926	0.0028	9.6398e+02	2.4823e+01	17.8912	0.0280	1.3728e+03	2.3751e+01	16.9179	0.0188	0.9733							
265.1690729056554	-53.7138522747079	265.16907290566	15.8445	-53.71385227471	7.3107	5921745124967602688							0	3.7986e+02	2.2958e+00	19.2393	0.0066																
265.1788935230508	-53.7062893908151	265.17890873745	0.3484	-53.70636966088	0.2365	5921745159327341184	0.5314	0.2869	2.092	0.470	-18.643	0.385	0	9.2184e+02	2.2879e+00	18.2767	0.0027																
265.1708610070396	-53.6992813908099	265.17086100704	4.4895	-53.69928139081	3.6567	5921745159343193216							0	3.1365e+02	2.2199e+00	19.4472	0.0077	2.2311e+02	1.8566e+01	19.4801	0.0903	4.4422e+02	1.8834e+01	18.1429	0.0460	1.3372							
265.1840923173532	-53.7127448502808	265.18410971915	0.3242	-53.71281828528	0.3068	5921745159327272832	0.2478	0.3290	2.392	0.614	-17.056	0.531	0	4.6480e+02	1.8967e+00	19.0202	0.0044	3.7508e+02	1.6270e+01	18.9161	0.0471	8.8596e+02	1.1751e+01	17.3934	0.0144	1.5227							
265.1756647642144	-53.7097339068275	265.17566476421	0.5104	-53.70973390683	0.3173	5921745159327339136							0	7.2293e+02	2.1646e+00	18.5406	0.0033	4.3052e+02	1.3918e+01	18.7664	0.0351	6.1604e+02	1.0962e+01	17.7879	0.0193	0.9785							
265.1908198280703	-53.7085231107520	265.19082295975	0.9259	-53.70854129755	1.0213	5921745090607794304	-0.3778	1.1885	0.431	1.846	-4.224	1.732	0	2.8370e+02	2.1525e+00	19.5562	0.0082																
265.1855840416838	-53.7117207385625	265.18558404168	3.7173	-53.71172073856	1.7827	5921745159327271296							0	1.0975e+02	2.8462e+00	20.5873	0.0282																
265.1855039467948	-53.7120086791302	265.18549297176	0.9810	-53.71210546551	0.8312	5921745159327271424	0.4929	0.9409	-1.509	2.673	-22.479	2.132	0	1.9500e+02	2.2794e+00	19.9633	0.0127																
265.1922692764311	-53.7076551409496	265.19229579986	0.2095	-53.70772787629	0.2530	5921745090607793280	0.6759	0.3027	3.646	0.564	-16.893	0.680	0	9.4683e+02	2.5665e+00	18.2477	0.0029	6.2585e+02	2.1822e+01	18.3602	0.0379	8.2621e+02	1.6053e+01	17.4692	0.0211	0.8910							
265.1681696906584	-53.7149515522198	265.16820817438	0.3497	-53.71502861448	0.3293	5921745124967598336	0.6913	0.4360	5.290	0.963	-17.898	0.791	1	4.8756e+02	2.1906e+00	18.9683	0.0049	3.6097e+02	2.3529e+01	18.9577	0.0708	6.0502e+02	1.6206e+01	17.8075	0.0291	1.1502							
265.1777619928115	-53.7089644804508	265.17776199281	4.4018	-53.70896448045	3.7047	5921745159327334400							0	3.7486e+02	5.0246e+00	19.2537	0.0146																
265.1939963429448	-53.7103150734220	265.19400797706	0.3810	-53.71039110431	0.5870	5921745090607758592	1.9590	0.6803	1.599	1.049	-17.659	1.106	0	5.6208e+02	3.1828e+00	18.8139	0.0061																
265.1734512555255	-53.7116160129812	265.17347777855	0.1830	-53.71169140009	0.1674	5921745124967597312	0.7563	0.2028	3.646	0.291	-17.509	0.277	0	1.1721e+03	2.5669e+00	18.0160	0.0024																
